frames head.translateX head.translateY head.translateZ chest.translateX chest.translateY chest.translateZ rightShoulder.translateX rightShoulder.translateY rightShoulder.translateZ leftShoulder.translateX leftShoulder.translateY leftShoulder.translateZ rightShoulder.translateX rightShoulder.translateY rightShoulder.translateZ riHand.translateX riHand.translateY riHand.translateZ leHand.translateX leHand.translateY leHand.translateZ riFoot.translateX riFoot.translateY riFoot.translateZ leFoot.translateX leFoot.translateY leFoot.translateZ
91 1.0466 59.4021 5.9968 0.3147 25.3998 3.1705 -11.4309 42.3521 2.4417 13.0154 42.3038 2.7796 -11.4309 42.3521 2.4417 -18.7184 -6.2809 -3.5529 19.7703 -7.0464 0.0819 -11.5038 -87.1262 -10.7708 11.1572 -86.8847 -10.585
92 1.0265 59.4021 5.9856 0.3201 25.401 3.1576 -11.436 42.345 2.4163 13.0096 42.3135 2.7729 -11.436 42.345 2.4163 -18.725 -6.2855 -3.5779 19.8893 -7.0239 0.1616 -11.4025 -87.1062 -10.8663 11.2753 -86.8754 -10.6399
93 1.0198 59.4007 5.9842 0.3274 25.4015 3.1508 -11.4334 42.3407 2.3973 13.011 42.318 2.7769 -11.4334 42.3407 2.3973 -18.7375 -6.2842 -3.5772 19.9619 -7.0129 0.2185 -11.3225 -87.0855 -10.9647 11.3693 -86.8661 -10.6977
94 1.0175 59.3993 5.993 0.3403 25.4013 3.1495 -11.4296 42.3345 2.3894 13.0133 42.3236 2.7869 -11.4296 42.3345 2.3894 -18.7483 -6.2859 -3.5609 19.9778 -7.0087 0.2362 -11.2534 -87.0679 -11.057 11.4488 -86.8578 -10.7514
95 1.0075 59.3988 6.006 0.3438 25.4009 3.1533 -11.439 42.3278 2.3952 13.0034 42.3302 2.7985 -11.439 42.3278 2.3952 -18.7664 -6.2867 -3.5353 19.9293 -7.0061 0.2432 -11.195 -87.0555 -11.1369 11.5147 -86.851 -10.8001
96 0.9945 59.399 6.0152 0.3347 25.401 3.1542 -11.4503 42.3274 2.4001 12.9926 42.3313 2.8088 -11.4503 42.3274 2.4001 -18.7828 -6.2825 -3.5022 19.8232 -7.0154 0.2529 -11.1567 -87.047 -11.1974 11.5585 -86.8474 -10.8309
97 0.9829 59.4006 6.0153 0.3194 25.4019 3.1484 -11.4598 42.3324 2.3985 12.9834 42.3287 2.8094 -11.4598 42.3324 2.3985 -18.8047 -6.2749 -3.4699 19.6868 -7.0323 0.2406 -11.1553 -87.0425 -11.2323 11.5641 -86.8517 -10.8412
98 0.9687 59.4017 6.0101 0.3005 25.4032 3.1384 -11.4714 42.3387 2.3894 12.972 42.3255 2.8032 -11.4714 42.3387 2.3894 -18.8358 -6.2654 -3.4404 19.5608 -7.0459 0.2106 -11.1846 -87.0387 -11.2512 11.538 -86.8579 -10.8387
99 0.9601 59.4011 6.0036 0.2912 25.4045 3.1264 -11.4787 42.3412 2.3729 12.9638 42.3253 2.7928 -11.4787 42.3412 2.3729 -18.8597 -6.2614 -3.4155 19.4343 -7.0594 0.1579 -11.2325 -87.0358 -11.2685 11.4922 -86.8656 -10.838
100 0.953 59.4001 6.0048 0.283 25.4053 3.1198 -11.4886 42.3409 2.3636 12.9526 42.3267 2.788 -11.4886 42.3409 2.3636 -18.8835 -6.2603 -3.3878 19.3333 -7.0672 0.0993 -11.2907 -87.0329 -11.2882 11.435 -86.8709 -10.848
101 0.9415 59.3981 6.0171 0.2589 25.4055 3.1224 -11.5056 42.3439 2.3633 12.9346 42.324 2.7954 -11.5056 42.3439 2.3633 -18.9115 -6.254 -3.3692 19.2681 -7.0736 0.046 -11.3428 -87.03 -11.3141 11.3817 -86.8698 -10.8672
102 0.9414 59.396 6.0278 0.2485 25.4058 3.1207 -11.5086 42.3469 2.3611 12.9309 42.3208 2.8023 -11.5086 42.3469 2.3611 -18.9251 -6.2464 -3.3668 19.2563 -7.0755 0.0083 -11.4007 -87.0293 -11.3363 11.3221 -86.872 -10.8861
103 0.9603 59.3938 6.0376 0.2572 25.4061 3.1162 -11.4895 42.353 2.3584 12.9496 42.3149 2.8068 -11.4895 42.353 2.3584 -18.9218 -6.2339 -3.3745 19.288 -7.078 -0.0095 -11.4618 -87.0271 -11.3653 11.2596 -86.8724 -10.9155
104 0.9907 59.3912 6.0474 0.2764 25.4063 3.1105 -11.4627 42.3584 2.3588 12.977 42.3099 2.8088 -11.4627 42.3584 2.3588 -18.9103 -6.2202 -3.3937 19.3569 -7.0767 -0.0185 -11.5292 -87.0242 -11.3985 11.1903 -86.8723 -10.954
105 1.0198 59.3893 6.0535 0.2932 25.4068 3.1026 -11.4356 42.3646 2.3574 13.0043 42.304 2.8072 -11.4356 42.3646 2.3574 -18.8906 -6.2068 -3.423 19.4604 -7.0733 -0.0088 -11.5803 -87.0246 -11.4253 11.1345 -86.8698 -10.9918
106 1.048 59.3876 6.0565 0.3088 25.4072 3.0948 -11.4104 42.37 2.3536 13.0294 42.2993 2.8018 -11.4104 42.37 2.3536 -18.8632 -6.1968 -3.4463 19.5758 -7.0672 -0.0055 -11.6178 -87.0291 -11.4403 11.0888 -86.8652 -11.0271
107 1.0783 59.3854 6.0612 0.3254 25.4074 3.0886 -11.3869 42.3742 2.353 13.053 42.2956 2.7972 -11.3869 42.3742 2.353 -18.8405 -6.1859 -3.4692 19.6814 -7.0624 0.0053 -11.6631 -87.0365 -11.4451 11.0304 -86.863 -11.0687
108 1.1081 59.3829 6.0646 0.3413 25.4079 3.0799 -11.3615 42.3798 2.3511 13.0788 42.2907 2.7893 -11.3615 42.3798 2.3511 -18.8218 -6.1729 -3.485 19.7645 -7.0631 0.008 -11.7203 -87.0416 -11.4439 10.9523 -86.8591 -11.1186
109 1.1407 59.3804 6.0635 0.357 25.4087 3.068 -11.3301 42.3893 2.3401 13.1101 42.2822 2.7794 -11.3301 42.3893 2.3401 -18.8147 -6.1552 -3.5041 19.8443 -7.0672 -0.0093 -11.8058 -87.0369 -11.4482 10.8568 -86.8524 -11.1706
110 1.1582 59.3778 6.059 0.3667 25.4096 3.0562 -11.3077 42.3974 2.322 13.1321 42.2757 2.7692 -11.3077 42.3974 2.322 -18.8137 -6.1412 -3.5196 19.8633 -7.0733 0.008 -11.9006 -87.0312 -11.4523 10.7607 -86.8471 -11.2207
111 1.1648 59.3745 6.0498 0.3711 25.4108 3.0418 -11.294 42.4025 2.3007 13.1453 42.2711 2.7546 -11.294 42.4025 2.3007 -18.8154 -6.1301 -3.5402 19.8841 -7.0766 -0.0091 -12.0039 -87.0259 -11.4491 10.6562 -86.8443 -11.2676
112 1.1712 59.3735 6.0339 0.3754 25.4118 3.0293 -11.2854 42.4048 2.2807 13.1532 42.2687 2.7407 -11.2854 42.4048 2.2807 -18.8084 -6.124 -3.5685 19.8554 -7.0852 -0.0044 -12.1107 -87.0204 -11.4448 10.5475 -86.8424 -11.3123
113 1.1843 59.375 6.0133 0.3842 25.4124 3.0205 -11.2731 42.4072 2.2613 13.1648 42.2658 2.7315 -11.2731 42.4072 2.2613 -18.8009 -6.1181 -3.6018 19.8146 -7.0969 -0.0099 -12.2283 -87.0143 -11.4399 10.4294 -86.8435 -11.3522
114 1.1939 59.3792 5.9893 0.3916 25.4127 3.0151 -11.2643 42.4079 2.2469 13.1729 42.264 2.7266 -11.2643 42.4079 2.2469 -18.7953 -6.1156 -3.6164 19.7572 -7.1063 0.0231 -12.3415 -87.0093 -11.4277 10.3159 -86.8439 -11.3826
115 1.2029 59.3842 5.9691 0.4038 25.4126 3.0126 -11.2543 42.4057 2.2369 13.1816 42.264 2.7275 -11.2543 42.4057 2.2369 -18.783 -6.1165 -3.629 19.72 -7.1128 0.0325 -12.4487 -87.005 -11.4119 10.2068 -86.8446 -11.4048
116 1.2122 59.3871 5.9668 0.4177 25.412 3.0154 -11.2435 42.4027 2.2375 13.191 42.2642 2.7385 -11.2435 42.4027 2.2375 -18.764 -6.1177 -3.6435 19.6825 -7.1183 0.0471 -12.5455 -87.0015 -11.3938 10.108 -86.8455 -11.4202
117 1.2219 59.3886 5.9782 0.4284 25.4111 3.0223 -11.2337 42.4013 2.2498 13.2001 42.263 2.7555 -11.2337 42.4013 2.2498 -18.7371 -6.1177 -3.6522 19.6587 -7.1237 0.0591 -12.6236 -86.9997 -11.3717 10.0268 -86.8445 -11.4283
118 1.2327 59.3901 5.9928 0.4334 25.4104 3.0287 -11.2258 42.4031 2.2644 13.2077 42.2595 2.7741 -11.2258 42.4031 2.2644 -18.7062 -6.1149 -3.6585 19.6492 -7.1301 0.0804 -12.6892 -86.9998 -11.3398 9.9577 -86.8446 -11.423
119 1.2465 59.3906 6.0142 0.4382 25.4096 3.0361 -11.2176 42.4052 2.2848 13.2158 42.2557 2.7938 -11.2176 42.4052 2.2848 -18.6754 -6.1114 -3.6575 19.643 -7.1341 0.1161 -12.75 -87.0002 -11.3087 9.8931 -86.8438 -11.4148
120 1.2717 59.3875 6.0435 0.4472 25.4083 3.0481 -11.2011 42.4094 2.3099 13.233 42.2477 2.8173 -11.2011 42.4094 2.3099 -18.656 -6.1042 -3.6394 19.6591 -7.1421 0.1206 -12.807 -87 -11.2828 9.8329 -86.8429 -11.4099
121 1.3032 59.3826 6.0735 0.463 25.4067 3.0608 -11.1759 42.4146 2.3338 13.2589 42.2378 2.8383 -11.1759 42.4146 2.3338 -18.6398 -6.0953 -3.6173 19.6811 -7.1512 0.1179 -12.8646 -87.0002 -11.2534 9.7723 -86.8437 -11.4014
122 1.3366 59.3769 6.1072 0.4859 25.4045 3.0773 -11.1511 42.4154 2.3607 13.2846 42.2335 2.8571 -11.1511 42.4154 2.3607 -18.6278 -6.0913 -3.586 19.7029 -7.1545 0.1 -12.9158 -87.0003 -11.2276 9.7189 -86.8446 -11.3949
123 1.3631 59.3724 6.1345 0.4993 25.4027 3.0915 -11.1375 42.4171 2.3841 13.2994 42.2306 2.8684 -11.1375 42.4171 2.3841 -18.6326 -6.0861 -3.5557 19.7201 -7.1547 0.0749 -12.946 -87.0024 -11.1969 9.6855 -86.8453 -11.38
124 1.38 59.3693 6.1538 0.4982 25.402 3.1 -11.1338 42.4212 2.4055 13.3044 42.2261 2.8721 -11.1338 42.4212 2.4055 -18.6513 -6.079 -3.5213 19.7285 -7.1587 0.0472 -12.955 -87.0067 -11.1606 9.6714 -86.8429 -11.3563
125 1.3965 59.3675 6.162 0.485 25.4023 3.1004 -11.1316 42.4313 2.4219 13.3085 42.2168 2.8664 -11.1316 42.4313 2.4219 -18.6835 -6.065 -3.4851 19.7518 -7.1672 0.0159 -12.9547 -87.0118 -11.1229 9.6708 -86.8406 -11.3275
126 1.4172 59.3659 6.1723 0.4781 25.4018 3.1081 -11.1281 42.438 2.4418 13.3131 42.2096 2.865 -11.1281 42.438 2.4418 -18.7243 -6.0527 -3.4512 19.7767 -7.172 -0.021 -12.9526 -87.0161 -11.0922 9.671 -86.8393 -11.2984
127 1.4418 59.3644 6.1874 0.4802 25.4005 3.1209 -11.1219 42.4417 2.4651 13.3204 42.2048 2.8701 -11.1219 42.4417 2.4651 -18.7685 -6.0426 -3.4166 19.7753 -7.1774 -0.0431 -12.948 -87.0206 -11.061 9.6724 -86.8407 -11.2661
128 1.4634 59.3635 6.2043 0.4861 25.399 3.1348 -11.1155 42.4438 2.4902 13.3282 42.202 2.879 -11.1155 42.4438 2.4902 -18.8072 -6.0353 -3.3767 19.7832 -7.1781 -0.0413 -12.9318 -87.0271 -11.0204 9.6834 -86.844 -11.2214
129 1.478 59.3623 6.2226 0.4893 25.3974 3.1504 -11.1077 42.4472 2.5184 13.337 42.196 2.8897 -11.1077 42.4472 2.5184 -18.8393 -6.0277 -3.3319 19.7897 -7.1838 -0.0289 -12.9058 -87.0352 -10.9724 9.7068 -86.8493 -11.1687
130 1.4948 59.3608 6.2379 0.4983 25.3959 3.1637 -11.0956 42.4496 2.5438 13.3506 42.1908 2.8993 -11.0956 42.4496 2.5438 -18.8684 -6.0207 -3.2894 19.802 -7.1889 -0.013 -12.8783 -87.0451 -10.9116 9.7346 -86.8583 -11.1005
131 1.5194 59.3593 6.2557 0.5138 25.3941 3.1765 -11.077 42.4515 2.5704 13.3705 42.1857 2.9114 -11.077 42.4515 2.5704 -18.8885 -6.0139 -3.2449 19.8174 -7.1957 0.0106 -12.8533 -87.0554 -10.8466 9.7575 -86.8682 -11.0235
132 1.5423 59.357 6.2783 0.5267 25.3925 3.1885 -11.061 42.4531 2.5997 13.3876 42.181 2.9233 -11.061 42.4531 2.5997 -18.8997 -6.0094 -3.1947 19.8335 -7.2009 0.0314 -12.8254 -87.0663 -10.777 9.7813 -86.8778 -10.9443
133 1.5583 59.3535 6.3061 0.536 25.3911 3.1996 -11.052 42.4531 2.6308 13.3982 42.1787 2.9356 -11.052 42.4531 2.6308 -18.9039 -6.0096 -3.1386 19.8417 -7.2031 0.0517 -12.7883 -87.0787 -10.7007 9.8144 -86.8855 -10.8616
134 1.5665 59.3488 6.3401 0.5377 25.3897 3.2124 -11.0487 42.4538 2.6634 13.4027 42.1752 2.9514 -11.0487 42.4538 2.6634 -18.8998 -6.0113 -3.0827 19.8721 -7.2034 0.0513 -12.7407 -87.0917 -10.6235 9.8592 -86.8911 -10.7789
135 1.5701 59.344 6.3759 0.5333 25.3884 3.2273 -11.049 42.4559 2.6968 13.4038 42.1709 2.9686 -11.049 42.4559 2.6968 -18.8881 -6.0131 -3.0274 19.8903 -7.2048 0.0576 -12.6891 -87.1049 -10.5458 9.9069 -86.8965 -10.6941
136 1.5743 59.3392 6.4119 0.526 25.3869 3.2435 -11.0504 42.4592 2.7287 13.4036 42.1654 2.9877 -11.0504 42.4592 2.7287 -18.8795 -6.0133 -2.978 19.9057 -7.2075 0.0596 -12.6373 -87.1171 -10.4755 9.9543 -86.9002 -10.615
137 1.5801 59.3351 6.4433 0.5201 25.3858 3.2562 -11.0516 42.4622 2.7545 13.4035 42.1611 3.0057 -11.0516 42.4622 2.7545 -18.8736 -6.0137 -2.9351 19.9214 -7.21 0.0649 -12.5886 -87.1289 -10.4068 9.9987 -86.9035 -10.5356
138 1.5866 59.3309 6.4741 0.518 25.3846 3.269 -11.0523 42.4642 2.7784 13.4044 42.1581 3.0253 -11.0523 42.4642 2.7784 -18.886 -6.0118 -2.9009 19.9377 -7.2101 0.0778 -12.5496 -87.1391 -10.3443 10.0325 -86.9071 -10.4607
139 1.5858 59.327 6.503 0.5139 25.3835 3.2802 -11.0554 42.4659 2.7999 13.4031 42.1562 3.0436 -11.0554 42.4659 2.7999 -18.9173 -6.0077 -2.8657 19.9511 -7.2085 0.1003 -12.5106 -87.149 -10.2847 10.0675 -86.9125 -10.3903
140 1.5798 59.3238 6.5264 0.5073 25.3827 3.2898 -11.0613 42.467 2.8181 13.3989 42.1551 3.0578 -11.0613 42.467 2.8181 -18.9598 -6.0029 -2.8316 19.951 -7.2094 0.1225 -12.4757 -87.1584 -10.2263 10.1017 -86.9189 -10.3235
141 1.5708 59.3203 6.5496 0.5017 25.3816 3.3017 -11.0677 42.4664 2.8375 13.3939 42.1544 3.0725 -11.0677 42.4664 2.8375 -19.0038 -5.9994 -2.7979 19.9584 -7.2082 0.1521 -12.4434 -87.1666 -10.1761 10.1326 -86.9255 -10.2668
142 1.5569 59.3168 6.574 0.4981 25.3801 3.3169 -11.0748 42.4637 2.8587 13.3879 42.1552 3.0884 -11.0748 42.4637 2.8587 -19.0489 -5.9978 -2.763 19.9698 -7.206 0.1829 -12.4187 -87.1736 -10.1315 10.1553 -86.9308 -10.2165
143 1.5441 59.3139 6.5983 0.497 25.3783 3.3336 -11.0797 42.4606 2.8786 13.3838 42.1558 3.1081 -11.0797 42.4606 2.8786 -19.0894 -5.9967 -2.7351 19.9933 -7.2018 0.2213 -12.4007 -87.1798 -10.0887 10.1695 -86.935 -10.172
144 1.53 59.3119 6.6204 0.4976 25.3766 3.349 -11.0851 42.4562 2.8966 13.3792 42.1577 3.1297 -11.0851 42.4562 2.8966 -19.1178 -5.9992 -2.7073 20.014 -7.1971 0.259 -12.3861 -87.1864 -10.0418 10.1844 -86.9385 -10.1249
145 1.516 59.3097 6.643 0.5017 25.3749 3.3639 -11.09 42.4498 2.9131 13.3742 42.1607 3.1509 -11.09 42.4498 2.9131 -19.1366 -6.0054 -2.6753 20.0373 -7.1912 0.2858 -12.3826 -87.1926 -9.9927 10.1904 -86.9441 -10.0826
146 1.5011 59.3075 6.6655 0.5047 25.3731 3.3784 -11.0952 42.4427 2.9269 13.3679 42.1633 3.1732 -11.0952 42.4427 2.9269 -19.1372 -6.0149 -2.6446 20.0588 -7.1856 0.3017 -12.3825 -87.1985 -9.943 10.1848 -86.9515 -10.0463
147 1.4873 59.3053 6.6814 0.5089 25.3719 3.3886 -11.0983 42.436 2.9319 13.3635 42.1654 3.193 -11.0983 42.436 2.9319 -19.1184 -6.0265 -2.6265 20.0664 -7.1814 0.3081 -12.3855 -87.2043 -9.8927 10.1805 -86.9581 -10.0113
148 1.478 59.3034 6.6912 0.5181 25.3709 3.3946 -11.0946 42.4298 2.9313 13.3658 42.1674 3.2077 -11.0946 42.4298 2.9313 -19.0794 -6.0388 -2.6242 20.056 -7.1793 0.308 -12.4024 -87.2087 -9.8475 10.1634 -86.9649 -9.9872
149 1.4701 59.3019 6.6968 0.5302 25.37 3.3989 -11.0874 42.4233 2.9273 13.3714 42.1698 3.219 -11.0874 42.4233 2.9273 -19.0195 -6.0531 -2.6384 20.0531 -7.1778 0.281 -12.4275 -87.2111 -9.8137 10.1406 -86.9697 -9.9777
150 1.4634 59.3009 6.6987 0.5444 25.3693 3.4011 -11.08 42.4146 2.9192 13.3761 42.1741 3.2263 -11.08 42.4146 2.9192 -18.9471 -6.0704 -2.6666 20.0239 -7.1745 0.2599 -12.4607 -87.2111 -9.7963 10.1096 -86.9737 -9.9867
151 1.4553 59.3004 6.6944 0.5562 25.3692 3.3981 -11.075 42.4068 2.9035 13.378 42.1788 3.2276 -11.075 42.4068 2.9035 -18.871 -6.0877 -2.705 19.9844 -7.1727 0.2292 -12.5009 -87.2092 -9.7909 10.069 -86.9757 -10.0038
152 1.444 59.3005 6.6848 0.5659 25.3697 3.3914 -11.0736 42.3991 2.882 13.3768 42.1848 3.2257 -11.0736 42.3991 2.882 -18.7922 -6.1052 -2.7557 19.953 -7.168 0.192 -12.5412 -87.2062 -9.795 10.0285 -86.9788 -10.0277
153 1.428 59.301 6.6728 0.5726 25.3704 3.3827 -11.0772 42.3909 2.8582 13.3707 42.1928 3.2213 -11.0772 42.3909 2.8582 -18.7087 -6.1241 -2.8155 19.9264 -7.1608 0.1585 -12.5804 -87.2022 -9.8076 9.9886 -86.9808 -10.0577
154 1.4102 59.302 6.6622 0.5767 25.3711 3.3748 -11.085 42.3824 2.838 13.361 42.2018 3.2175 -11.085 42.3824 2.838 -18.6381 -6.1407 -2.88 19.9023 -7.1533 0.1317 -12.6218 -87.1971 -9.8283 9.9469 -86.9809 -10.0945
155 1.3923 59.304 6.65 0.5793 25.3721 3.3651 -11.0925 42.3751 2.8201 13.3524 42.2105 3.2136 -11.0925 42.3751 2.8201 -18.5907 -6.1517 -2.9404 19.9008 -7.144 0.1185 -12.6674 -87.1916 -9.8504 9.8973 -86.9767 -10.1285
156 1.3708 59.307 6.6365 0.5774 25.3736 3.3525 -11.1015 42.37 2.7999 13.3424 42.2185 3.209 -11.1015 42.37 2.7999 -18.5562 -6.1599 -2.9955 19.9049 -7.1343 0.1219 -12.7111 -87.1865 -9.8701 9.8526 -86.9687 -10.1592
157 1.3516 59.3097 6.624 0.5737 25.3751 3.3403 -11.1124 42.3659 2.7783 13.3307 42.2264 3.2054 -11.1124 42.3659 2.7783 -18.5407 -6.1664 -3.0394 19.9178 -7.124 0.1432 -12.7622 -87.1815 -9.8841 9.8023 -86.9609 -10.184
158 1.3371 59.3107 6.6167 0.5698 25.3761 3.332 -11.1248 42.3606 2.7594 13.3179 42.2346 3.2066 -11.1248 42.3606 2.7594 -18.5374 -6.1746 -3.057 19.9265 -7.1151 0.1733 -12.8235 -87.1763 -9.8945 9.7429 -86.9538 -10.2042
159 1.3178 59.3102 6.6148 0.5696 25.3764 3.3293 -11.1355 42.3529 2.742 13.3063 42.2439 3.2122 -11.1355 42.3529 2.742 -18.5383 -6.1858 -3.0599 19.9358 -7.1053 0.1932 -12.8928 -87.1707 -9.904 9.6745 -86.9465 -10.2246
160 1.2979 59.3095 6.6104 0.573 25.3768 3.3249 -11.1428 42.3452 2.7214 13.2978 42.2524 3.2168 -11.1428 42.3452 2.7214 -18.5329 -6.1987 -3.0545 19.9335 -7.098 0.221 -12.9683 -87.165 -9.9092 9.6024 -86.9405 -10.2393
161 1.278 59.3082 6.606 0.5766 25.3771 3.3204 -11.1486 42.3385 2.7025 13.2913 42.2596 3.2194 -11.1486 42.3385 2.7025 -18.5269 -6.2107 -3.0463 19.9532 -7.0849 0.2672 -13.0376 -87.16 -9.9126 9.5372 -86.9329 -10.2553
162 1.2539 59.3074 6.6017 0.5798 25.3774 3.3162 -11.1537 42.3326 2.6863 13.2856 42.2665 3.2208 -11.1537 42.3326 2.6863 -18.5145 -6.2215 -3.0424 19.9542 -7.0801 0.2883 -13.1022 -87.1547 -9.9197 9.4752 -86.9228 -10.2728
163 1.2418 59.3077 6.5943 0.5853 25.3778 3.3107 -11.1566 42.3269 2.6713 13.2821 42.2736 3.2182 -11.1566 42.3269 2.6713 -18.4905 -6.2322 -3.0462 19.9619 -7.0718 0.3065 -13.1614 -87.1496 -9.9286 9.4189 -86.9123 -10.2942
164 1.2377 59.3084 6.5868 0.5909 25.3781 3.3065 -11.1604 42.3204 2.6614 13.2778 42.2813 3.214 -11.1604 42.3204 2.6614 -18.4595 -6.2437 -3.05 19.9664 -7.0636 0.3098 -13.2137 -87.1447 -9.939 9.3705 -86.9007 -10.317
165 1.2358 59.3095 6.5787 0.5947 25.3784 3.302 -11.1642 42.3152 2.6536 13.2738 42.2876 3.2083 -11.1642 42.3152 2.6536 -18.4264 -6.2538 -3.0556 19.9652 -7.0562 0.3128 -13.2662 -87.1401 -9.9466 9.3231 -86.89 -10.3369
166 1.2325 59.3101 6.569 0.5978 25.3789 3.2967 -11.1677 42.3108 2.6468 13.2704 42.2928 3.2003 -11.1677 42.3108 2.6468 -18.3903 -6.2625 -3.0665 19.9761 -7.0489 0.3036 -13.3129 -87.1363 -9.9506 9.2819 -86.8796 -10.3533
167 1.2301 59.3107 6.5589 0.5996 25.3794 3.291 -11.1698 42.3077 2.6398 13.2681 42.2963 3.1912 -11.1698 42.3077 2.6398 -18.3512 -6.2694 -3.0859 19.9834 -7.0438 0.2845 -13.3537 -87.1325 -9.9575 9.2433 -86.8679 -10.3703
168 1.2275 59.3119 6.5501 0.5989 25.3802 3.2837 -11.1703 42.3071 2.6332 13.2669 42.2974 3.1821 -11.1703 42.3071 2.6332 -18.3054 -6.2747 -3.1074 20.0026 -7.0393 0.263 -13.3861 -87.1294 -9.9637 9.2138 -86.8566 -10.3875
169 1.2348 59.3116 6.5482 0.5996 25.3807 3.2789 -11.1673 42.3086 2.6298 13.2695 42.2964 3.1764 -11.1673 42.3086 2.6298 -18.2697 -6.2763 -3.1228 20.0215 -7.0379 0.2496 -13.412 -87.1274 -9.964 9.1878 -86.845 -10.403
170 1.2484 59.3102 6.5476 0.6019 25.381 3.2751 -11.1644 42.3094 2.6276 13.2724 42.2962 3.1695 -11.1644 42.3094 2.6276 -18.2426 -6.2786 -3.1275 20.0448 -7.035 0.2273 -13.4203 -87.1269 -9.963 9.1814 -86.8339 -10.4189
171 1.2602 59.3085 6.5479 0.6061 25.3812 3.2718 -11.1613 42.3094 2.6267 13.2757 42.297 3.1617 -11.1613 42.3094 2.6267 -18.227 -6.2807 -3.1261 20.0624 -7.0328 0.207 -13.4175 -87.1271 -9.9618 9.1867 -86.8231 -10.4331
172 1.2758 59.3053 6.554 0.6134 25.381 3.2707 -11.1561 42.31 2.6298 13.282 42.2975 3.1553 -11.1561 42.31 2.6298 -18.2282 -6.2798 -3.1174 20.0821 -7.0309 0.2027 -13.4095 -87.1278 -9.9605 9.1952 -86.8141 -10.439
173 1.2891 59.3018 6.5643 0.6155 25.381 3.2706 -11.1537 42.312 2.6362 13.2853 42.2964 3.1517 -11.1537 42.312 2.6362 -18.2451 -6.2761 -3.102 20.095 -7.0303 0.2193 -13.3797 -87.1299 -9.9599 9.2272 -86.8061 -10.4386
174 1.3021 59.2985 6.5745 0.6132 25.3813 3.2681 -11.1527 42.3151 2.6408 13.2867 42.2938 3.149 -11.1527 42.3151 2.6408 -18.2637 -6.2715 -3.0872 20.0984 -7.0345 0.2424 -13.3288 -87.1335 -9.9598 9.275 -86.7999 -10.4274
175 1.3123 59.2949 6.5842 0.6054 25.382 3.2644 -11.1559 42.3193 2.6442 13.284 42.2905 3.1452 -11.1559 42.3193 2.6442 -18.2848 -6.2663 -3.0688 20.0989 -7.0389 0.2667 -13.2649 -87.1385 -9.9562 9.3386 -86.7976 -10.4101
176 1.3195 59.2932 6.593 0.5964 25.3827 3.2608 -11.1592 42.3243 2.6455 13.2813 42.288 3.1452 -11.1592 42.3243 2.6455 -18.3126 -6.2598 -3.0499 20.1011 -7.0428 0.3063 -13.1881 -87.1442 -9.9537 9.415 -86.7967 -10.3841
177 1.3319 59.2915 6.6067 0.5952 25.3828 3.2602 -11.153 42.3297 2.6488 13.2877 42.2842 3.1519 -11.153 42.3297 2.6488 -18.334 -6.252 -3.0401 20.1036 -7.0489 0.3457 -13.1001 -87.1505 -9.9525 9.5032 -86.7984 -10.3481
178 1.3345 59.2887 6.6198 0.5918 25.3829 3.2608 -11.1519 42.3332 2.6535 13.2893 42.2818 3.1546 -11.1519 42.3332 2.6535 -18.3459 -6.2476 -3.0361 20.095 -7.0536 0.3798 -12.9897 -87.1583 -9.9512 9.6119 -86.7993 -10.3065
179 1.3264 59.285 6.6349 0.5862 25.383 3.2617 -11.1572 42.3338 2.6615 13.2846 42.2809 3.1586 -11.1572 42.3338 2.6615 -18.3461 -6.247 -3.0343 20.0796 -7.0562 0.3942 -12.8583 -87.1674 -9.9484 9.7436 -86.8002 -10.2629
180 1.3246 59.2811 6.6549 0.5908 25.3824 3.2655 -11.1569 42.3307 2.6732 13.2847 42.2819 3.1664 -11.1569 42.3307 2.6732 -18.3296 -6.2518 -3.0278 20.056 -7.0557 0.3889 -12.728 -87.1759 -9.9485 9.8735 -86.7997 -10.2259
181 1.32 59.2773 6.6855 0.5951 25.3811 3.2769 -11.1598 42.3247 2.6957 13.2809 42.2847 3.1822 -11.1598 42.3247 2.6957 -18.2997 -6.2616 -3.0152 20.0154 -7.0527 0.3519 -12.5925 -87.184 -9.9523 10.0088 -86.7964 -10.202
182 1.3084 59.2743 6.7207 0.592 25.3796 3.2919 -11.1689 42.3197 2.7244 13.2716 42.2878 3.2017 -11.1689 42.3197 2.7244 -18.271 -6.2708 -2.9978 19.9722 -7.0495 0.3 -12.4485 -87.1921 -9.9583 10.1542 -86.7903 -10.1863
183 1.2915 59.2721 6.7576 0.5796 25.3786 3.3053 -11.1826 42.3185 2.7557 13.2579 42.2878 3.2229 -11.1826 42.3185 2.7557 -18.253 -6.2741 -2.9824 19.926 -7.0513 0.2222 -12.3297 -87.1878 -9.977 10.3013 -86.7826 -10.1706
184 1.2712 59.2707 6.7909 0.5628 25.3785 3.3119 -11.2012 42.3179 2.7799 13.2392 42.2891 3.241 -11.2012 42.3179 2.7799 -18.2441 -6.2749 -2.9783 19.8902 -7.0497 0.1378 -12.195 -87.1808 -9.977 10.4502 -86.7763 -10.1395
