1313131,24,1/2-1/2,d4 Nf6 c4 e6 Nf3 b6 g3 Bb7 Bg2 Bb4+ Bd2 Qe7 O-O Bxd2 Qxd2 d6 Qc2 O-O Nc3 c5 Rad1 Nc6 e3 Rac8 dxc5 bxc5 Qa4 Rfd8 Nd2 Ne8 Qc2 Nb4 Qb1 Bxg2 Kxg2 f5 f4 Nf6 e4 g6 Nf3 d5 cxd5 fxe4 Nxe4 exd5 Nxf6+ Qxf6 Ne5 d4 Qe4 Qe6 Kg1 Re8 Rde1 Qd5 Qxd5+ Nxd5 Nc4 Rb8 Rxe8+ Rxe8 Kf2 Nf6 Kf3 Kg7 Rc1 Nd7 Kf2 Kf6 b3 Re6 Rc2 Kf5 Nb2 Ra6 Nd3 Ke4 Ke2 Kd5 Kd2 Re6 Rc1 Re3 Rc4 h5 Rc1 h4 gxh4 Rh3 Rh1 Nf6 f5 Rxh4 fxg6 Rg4 h4 Rg2+ Kc1 Rxa2 Kb1 Rd2 Rh3 Nh5 Kc1 Rg2 Rh1 c4 bxc4+ Kxc4 Ne5+ Kb4 Nc6+ Kc3
1313132,22,0-1,Nf3 Nf6 d4 e6 c4 b6 g3 Bb7 Bg2 Bb4+ Bd2 Qe7 O-O Bxd2 Nbxd2 d6 Qc2 O-O Rfe1 c5 e4 Nc6 d5 Nb4 Qc3 e5 a3 Na6 Nf1 Nc7 Nh4 g6 Qd2 Nce8 h3 Ng7 Qh6 Kh8 Rad1 Ng8 Qc1 Bc8 Nf3 Bd7 Re2 Rae8 Rde1 a6 Qc3 Qd8 N1d2 f6 Kh2 Re7 Ng1 f5 f4 exf4 gxf4 fxe4 Nxe4 Bc8 Ng5 Rxe2 Rxe2 Rxf4 Ne6 Bxe6 dxe6 Qf6 Qb3 Nxe6 Qxb6 Rd4 Bd5 Nf4 Qb8 Rxd5 cxd5 Nxe2 Nxe2 Qf2+ Kh1 Qxe2 Qxd6 Qe7 Qc6 Nf6 d6 Qe1+ Kg2 Qe2+ Kg1 Qd1+ Kh2 Qd2+
1313133,21,1/2-1/2,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 O-O a3 Bxc3+ Qxc3 a5 e3 a4 Bd3 d6 Ne2 Qe7 Bd2 e5 dxe5 dxe5 Ng3 Na6 Qc2 Nc5 Bf5 Bxf5 Qxf5 Rfd8 O-O-O Nb3+ Kc2 Nxd2 Rxd2 Qc5 Rxd8+ Rxd8 Kb1 Qd6 Qc2 Qd7 h3 Ne8 Ne4 Qc6 f3 Nd6 Rd1 Rc8 Nxd6 cxd6 Qd3 g6 e4 Qa6 Rc1 Rc5 Rd1 Rc6 Qd5 Rc5 Qxd6 Qxc4 Qd3 Qxd3+ Rxd3 b5 Rc3 Rxc3 bxc3 Kf8 c4 Ke7 Kc2 Kd6 cxb5 Kc5
1313134,21,1/2-1/2,e4 e6 Nc3 d5 Nf3 Nf6 e5 Nfd7 d4 c5 dxc5 Nc6 Bf4 Bxc5 Bd3 f5 exf6 Nxf6 O-O O-O Qe2 a6 Rad1 Bd6 Bxd6 Qxd6 Rde1 Bd7 Ne5 Nxe5 Qxe5 Qxe5 Rxe5 h6 h3 Rac8 Ne2 Ne8 Nd4 Rf6 Rfe1 Nc7 c3 b5 a3 Re8 h4 g6 g3 Kf8 Bf1 Ke7 f4 Kd6 Bd3 Rg8 Nf3 Ne8 R5e2 Ng7 Ne5 Nf5 Bxf5 gxf5 Kf2 Rb8 Ke3 h5 Kd4 Rb6 b3 Rb8 Rb2 Rff8 Reb1 Rg8 Rg1 Rg7 Nf3 Be8 Re2
1313135,21,1/2-1/2,Nf3 Nf6 b3 g6 Bb2 Bg7 g3 O-O Bg2 d6 d4 Nbd7 Nbd2 e5 dxe5 Ng4 O-O Ngxe5 Nxe5 Nxe5 Qc1 d5 Nf3 Nxf3+ Bxf3 c6 Bxg7 Kxg7 Rd1 Qf6 c3 Re8 Rd4 Re5 Qd2 Bf5 Rd1 Rae8 c4 Be4 Bxe4 Rxe4 Rxe4 dxe4 Qe3 b6 h4 Re7 Kg2 Qe5 a4 h6 b4 Qe6 Rd4 f5 Qf4 Rd7 Rxd7+ Qxd7 Qe5+ Kf7 h5 gxh5 a5 bxa5 bxa5 a6 f3 Qe6 Qd4 f4 gxf4 exf3+ Kxf3 Qg4+ Kf2 h4 Qe3 h5 Qf3
1313136,19,1/2-1/2,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 Qe2 Be7 c3 b5 Bb3 d6 d4 O-O O-O Bb7 Rd1 Qe8 Bg5 h6 Bh4 Nh5 Bg3 Bf6 Bd5 Nxg3 hxg3 Rb8 Bb3 Qe7 d5 Na5 Bc2 Nc4 Bd3 Nb6 Nbd2 c6 dxc6 Bxc6 c4 Na4 cxb5 axb5 Nf1 Qb7 Re1 Nc5 Bc2 Rfe8 Rad1 Rbd8 Bb1 g6 Ne3 Bg7 Nd2
1313137,20,1/2-1/2,d4 Nf6 c4 e6 Nc3 d5 Bg5 Be7 e3 h6 Bh4 O-O Nf3 b6 Qc2 c5 Rd1 cxd4 Nxd4 Bb7 Be2 Nbd7 O-O dxc4 Bxc4 Qc8 Be2 Nc5 Rc1 Qb8 b4 Nce4 Nxe4 Bxe4 Bd3 Bxd3 Qxd3 Qd6 Bg3 Qd5 Qc4 Rfc8 Qxc8+ Rxc8 Rxc8+ Kh7 Rc7 Bxb4 Rxa7 Ne4 Rxf7 e5 Rf5 Bd6 f4 Nxg3 hxg3 Qe4 fxe5 Qxe3+ Kh2 Bxe5 Nf3 Bf6 Rb5 Qe2 Rfb1
1313138,22,0-1,d4 d5 c4 e6 Nc3 a6 cxd5 exd5 Qb3 Nf6 Bg5 c6 Nf3 Be7 e3 Nbd7 Bd3 O-O O-O Re8 Rac1 Nf8 Na4 Ne4 Bxe7 Qxe7 Nc5 Nd6 Rfe1 Bg4 Ne5 Bh5 h3 f6 Ng4 Bf7 Qc2 Ne4 b4 Ng6 f3 f5 Nh2 Nxc5 bxc5 f4 Ng4 fxe3 Rxe3 Qg5 Rxe8+ Rxe8 Bxg6 Bxg6 Qc3 Re2 Re1 Rxa2 Re3 h5 Nf2 Rc2 Qe1 Rb2 Kh2 Qf4+ g3 Qxd4 Re2 Rxe2 Qxe2 Qxc5 Kg2 Kh7 Qe6 Qc2 h4 a5 g4 hxg4 Qxg4 Qf5 Qg3 Bh5 Nh3 Qxf3+ Qxf3 Bxf3+ Kxf3 a4 Ng5+
1313139,21,1-0,c4 d6 d4 Nf6 Nc3 g6 e4 Bg7 f3 c5 dxc5 dxc5 Qxd8+ Kxd8 Be3 Nfd7 Rd1 Bxc3+ bxc3 b6 f4 Bb7 Nf3 Ke8 Bd3 Nc6 e5 Na5 Kf2 Rd8 Be2 f6 e6 Nf8 f5 gxf5 Nh4 h5 Rxd8+ Kxd8 Rd1+ Ke8 Nxf5 Nxe6 Bh6 Rxh6 Nxh6 Ng7 Bd3 e5 Nf5 Nxf5 Bxf5 Nxc4 Bg6+ Ke7 Bxh5 Nd6 Bf3 e4 Be2 Ke6 h4 Bd5 h5 Nf7 a3 Ke5 g3 Be6 a4 f5 Ke3 Bd5 a5 Be6 axb6 axb6 Rb1
1313140,20,1/2-1/2,d4 d5 c4 e6 Nf3 a6 e3 Nf6 Nc3 Nbd7 b3 Bb4 Bd2 O-O Bd3 dxc4 bxc4 e5 dxe5 Ng4 Qb1 Ndxe5 Nxe5 Nxe5 Bxh7+ Kh8 Qxb4 Kxh7 O-O Rh8 c5 Kg8 Ne2 Nc6 Qc3 Qh4 f3 Qxh2+ Kf2 Be6 e4 Qe5 Bf4 Qxc3 Nxc3 Rh5 Na4 Rd8 g4 Rh8 Rfd1 Rxd1 Rxd1 Bxa2 Nc3 Be6 Bxc7 f6 Rb1 Bc8 Nd5 Kf7 Nb6 Be6 Nd5 Bc8 Nb6 Be6 Nd5
